stimulus_id,stimulus_name,language,screen_id,global_sent_index,text
1,PopSci_MultiplEYE,sv,1,0,MultiplEYE-projektet
1,PopSci_MultiplEYE,sv,1,1,Namnet “
1,PopSci_MultiplEYE,sv,1,2,MultiplEYE” är en ordlek där “multilingualism” eller “multiple languages” kombineras med “eye” från “eye-tracking”.
1,PopSci_MultiplEYE,sv,1,3,MultiplEYE är en COST-aktion finansierad av den Europeiska unionen.
1,PopSci_MultiplEYE,sv,1,4,"COST-aktioner är nätverksprojekt med stöd från European Cooperation in Science and Technology, förkortat COST."
1,PopSci_MultiplEYE,sv,1,5,Som finansiär stöder COST vårt växande nätverk av forskare i och utanför Europa genom att tillhandahålla medel för genomförande av nätverksaktiviteter.
1,PopSci_MultiplEYE,sv,2,6,"Aktiviteterna innefattar möten i arbetsgrupper, utbildningar i syfte att dela kunskaper med yngre forskare och vetenskapliga forskningsbesök."
1,PopSci_MultiplEYE,sv,2,7,Projekttiteln för COST-aktionen MultiplEYE är:
1,PopSci_MultiplEYE,sv,2,8,Möjliggör insamling av flerspråkig eye-trackingdata för forskning om mänsklig och maskinell språkbehandling.
1,PopSci_MultiplEYE,sv,2,9,Det innebär att syftet för COST-aktionen MultiplEYE är att främja ett interdisciplinärt forskningsnätverk som arbetar med insamling av eye-trackingdata från läsning på flera språk.
1,PopSci_MultiplEYE,sv,3,10,"Målet är att stödja utvecklingen av en stor flerspråkig eye-trackingkorpus och göra det möjligt för forskare att bedriva datainsamling genom att dela kunskaper mellan olika fält, därbland lingvistik, psykologi, tal– och språkpatologi och datavetenskap."
1,PopSci_MultiplEYE,sv,3,11,Därefter kan datan användas för att studera mänsklig språkbehandling från ett psykolingvistiskt perspektiv liksom för att förbättra och utvärdera maskinell språkbehandling från ett maskininlärningsperspektiv.
1,PopSci_MultiplEYE,sv,4,12,Vad är ”eye-tracking”?
1,PopSci_MultiplEYE,sv,4,13,Eye-tracking är en metod som mäter blickpunkten - var du tittar - och ögonens rörelser mellan fixerade blickpunkter.
1,PopSci_MultiplEYE,sv,4,14,Eye-tracker kallas apparaten som används för att mäta ögonens positioner och rörelser.
1,PopSci_MultiplEYE,sv,4,15,Den består av en värmekamera som använder sig av en ljusfrekvens som varken påverkar eller skadar människoögat.
1,PopSci_MultiplEYE,sv,5,16,"Med hjälp av algoritmer för bildigenkänning kan eye-trackern med stor precision förutse blickpunkter genom att registrera huvudets och ögonens position, avståndet till skärmen deltagaren tittar på och eye-trackerns position."
1,PopSci_MultiplEYE,sv,5,17,Eye-tracking är en användbar teknik i en rad tillämpningar.
1,PopSci_MultiplEYE,sv,5,18,"Den kan till exempel användas för att upptäcka trötthet under bilkörning, eller för att stödja applikationer för screening eller utbildning inom det medicinska området."
1,PopSci_MultiplEYE,sv,5,19,"Eye-tracking används också inom datorspel, marknadsföring och människa-datorinteraktion."
1,PopSci_MultiplEYE,sv,6,20,Varför är eye-tracking vid läsning särskilt intressant för vårt projekt?
1,PopSci_MultiplEYE,sv,6,21,När du läser de här orden följer eye-trackern dina ögonrörelser över texten.
1,PopSci_MultiplEYE,sv,6,22,"Det ger information om hur lång tid du tittar på en text, eller mer specifikt hur lång tid du lägger på varje ord, vilka ord du hoppar över, vilka ord du dröjer vid och huruvida du behöver gå tillbaka och läsa om delar av texten för att förstå den bättre."
1,PopSci_MultiplEYE,sv,7,23,När din hjärna bearbetar textens innehåll återspeglar dina ögonrörelser en stor del av den språkliga och kognitiva bearbetning som pågår nästan i realtid.
1,PopSci_MultiplEYE,sv,7,24,Därav är den registrerade datan därav en guldgruva av information för hur vi sätter samman en texts betydelse och grammatiska strukturer.
1,PopSci_MultiplEYE,sv,7,25,Den visar vilka delar av texten som vi har problem med och vilka delar som är lättlästa.
1,PopSci_MultiplEYE,sv,7,26,Efter det är det upp till forskarna att förklara vilka lingvistiska faktorer som orsakade vilken sorts ögonrörelser.
1,PopSci_MultiplEYE,sv,8,27,"Bakgrunden till MultiplEYE är att det fortfarande finns för lite data, särskilt från språk med färre talare."
1,PopSci_MultiplEYE,sv,8,28,"En datainsamling av denna omfattning är en utmaning när det gäller att utveckla och komma överens om experimentets design, komplexitet och de typer av texter som ska läsas av deltagarna."
1,PopSci_MultiplEYE,sv,8,29,"Andra beslut som kan tyckas vara mindre relevanta, men som egentligen är av stor vikt innefattar textstorlek och typsnitt, i vilken ordning texterna presenteras, experimentets genomförande och hur data bearbetas."
1,PopSci_MultiplEYE,sv,9,30,När det väl är klart kommer datasetet att ge oss möjlighet att undersöka många ämnen som rör psykolingvistik och datalingvistik.
1,PopSci_MultiplEYE,sv,9,31,Till exempel kan vi jämföra läsbeteenden mellan olika språk.
1,PopSci_MultiplEYE,sv,9,32,"Påverkar skriften lästiden, till exempel det latinska alfabetet jämfört med kyrilliska eller arabiska skrifter?"
1,PopSci_MultiplEYE,sv,9,33,Ett exempel på maskinell behandling av text kan vara att använda eye-trackingdata för att utveckla applikationer för artificiell intelligens som imiterar den mänskliga läsprocessen.
1,PopSci_MultiplEYE,sv,9,34,Detta skulle kunna användas för att bygga bättre maskinöversättningssystem eller för att förbättra den automatiska extraktionen av nyckelord från en text.
1,PopSci_MultiplEYE,sv,10,35,"Att få eye-trackingdata från många deltagare, dig inkluderat, som läser texter på en rad olika språk kommer att vara en bra grund för vår forskning."
1,PopSci_MultiplEYE,sv,10,36,Det kommer att vara den viktigaste faktorn för att göra vårt forskningsnätverk till en framgångsrik verksamhet.
1,PopSci_MultiplEYE,sv,10,37,Vi hoppas på att bana väg för forskningsframsteg i en rad av lingvistikens underordnade fält genom att föra samman och stödja en stor grupp av forskare.
1,PopSci_MultiplEYE,sv,11,38,De främsta resultaten av MultiplEYE-aktionen kommer att vara ett stort dataset med eye-trackingdata på många språk och en plattform för nya samarbeten som bygger på denna sorts data.
1,PopSci_MultiplEYE,sv,11,39,Om du läser denna text stödjer du redan vårt ändamål genom att låta oss samla in och analysera dina ögonrörelser när du läser och förstår språk.
1,PopSci_MultiplEYE,sv,11,40,Tack!
2,Ins_HumanRights,sv,1,41,Allmän förklaring om de mänskliga rättigheterna –
2,Ins_HumanRights,sv,1,42,Ingress
2,Ins_HumanRights,sv,1,43,"Eftersom erkännandet av det inneboende värdet hos alla som tillhör människosläktet och av deras lika och obestridliga rättigheter är grundvalen för frihet, rättvisa och fred i världen,"
2,Ins_HumanRights,sv,2,44,"Eftersom ringaktning och förakt för de mänskliga rättigheterna har lett till barbariska gärningar som har upprört mänsklighetens samvete, och då skapandet av en värld där människorna åtnjuter yttrandefrihet, trosfrihet och frihet från fruktan och nöd har tillkännagivits som folkens högsta strävan,"
2,Ins_HumanRights,sv,3,45,"Eftersom det är väsentligt för att människorna inte som en sista utväg skall tvingas att tillgripa uppror mot tyranni och förtryck att de mänskliga rättigheterna skyddas genom rättsstatens principer,"
2,Ins_HumanRights,sv,4,46,"Eftersom det är väsentligt att främja utvecklingen av vänskapliga förbindelser mellan nationerna,"
2,Ins_HumanRights,sv,5,47,"Eftersom Förenta Nationernas folk i stadgan åter har bekräftat sin tro på de grundläggande mänskliga rättigheterna, den enskilda människans värdighet och värde samt mäns och kvinnors lika rättigheter och har beslutat att främja sociala framsteg och bättre levnadsvillkor under större frihet,"
2,Ins_HumanRights,sv,6,48,"Eftersom medlemsstaterna har åtagit sig att i samverkan med Förenta Nationerna säkerställa en allmän och faktisk respekt för och efterlevnad av de mänskliga rättigheterna och de grundläggande friheterna,"
2,Ins_HumanRights,sv,7,49,"Eftersom en gemensam uppfattning om innebörden av dessa rättigheter och friheter är av största betydelse för att uppfylla detta åtagande,"
2,Ins_HumanRights,sv,8,50,"tillkännager generalförsamlingen denna allmänna förklaring om de mänskliga rättigheterna som en gemensam norm för alla folk och nationer i syfte att alla människor och samhällsorgan med denna förklaring i ständig åtanke skall sträva efter att genom undervisning och utbildning främja respekten för dessa rättigheter och friheter samt genom progressiva åtgärder, både nationellt och internationellt, se till att de erkänns och tillämpas allmänt och effektivt både bland folken i medlemsstaterna och bland folken i områden som står under deras jurisdiktion."
3,Ins_LearningMobility,sv,1,51,RAPPORT FRÅN KOMMISSIONEN TILL RÅDET:
3,Ins_LearningMobility,sv,1,52,Lägesrapport om riktmärket för rörlighet i utbildningssyfte
3,Ins_LearningMobility,sv,1,53,1.
3,Ins_LearningMobility,sv,1,54,INLEDNING
3,Ins_LearningMobility,sv,1,55,Kommissionen framhöll nyligen i sitt meddelande Att investera i Europas unga att rörlighet i utbildningssyfte främjar såväl anställbarhet som aktivt medborgarskap.
3,Ins_LearningMobility,sv,1,56,"Utbildning, studier och praktik i ett annat land är en unik erfarenhet och kan öppna nya horisonter"
3,Ins_LearningMobility,sv,2,57,"samt ge färdigheter och egenskaper som värdesätts av arbetsgivarna och är viktiga i dagens samhälle, såsom problemlösningsförmåga, anpassningsförmåga, tolerans och självförtroende."
3,Ins_LearningMobility,sv,2,58,"Kommissionen uppmuntrar ungdomars rörlighet i utbildningssyfte genom sin politik och sina program, bland annat med hjälp av ett särskilt riktmärke och stöd via programmet Erasmus+."
3,Ins_LearningMobility,sv,3,59,"Rådet uppmanar i sina slutsatser 2011 om ett riktmärke för rörlighet i utbildningssyfte (2011/C372/08) kommissionen att ”rapportera till rådet senast i slutet av 2015, i syfte att se över och, vid behov, revidera det europeiska riktmärke[t] för rörlighet i utbildningssyfte”."
3,Ins_LearningMobility,sv,3,60,"I slutsatserna uppmanar rådet även kommissionen och medlemsstaterna att vidta ett antal andra åtgärder, främst när det gäller indikatorer för studerandes, ungdomars och lärares rörlighet."
3,Ins_LearningMobility,sv,3,61,Det finns emellertid ingen skyldighet att rapportera till rådet om dessa åtgärder.
3,Ins_LearningMobility,sv,3,62,De beskrivs närmare i separata dokument som finns tillgängliga hos kommissionen.
3,Ins_LearningMobility,sv,4,63,"Bakgrunden till rådets slutsatser från 2011 är den strategiska ramen för europeiskt utbildningssamarbete (Utbildning 2020), i vilken kommissionen uppmanas ”att senast i slutet av 2010 lägga fram ett förslag för rådet om ett riktmärke på detta område, vilket inledningsvis bör inriktas på fysisk rörlighet mellan länder på området högre utbildning ...”."
3,Ins_LearningMobility,sv,4,64,Rådets slutsatser föregicks av kommissionens arbetsdokument av den 24 maj 2011 om utformandet av riktmärken för utbildning för anställbarhet och för rörlighet i utbildningssyfte (dok.
3,Ins_LearningMobility,sv,4,65,10697/11)
3,Ins_LearningMobility,sv,4,66,.
3,Ins_LearningMobility,sv,5,67,Genom denna rapport fullgör kommissionen sin skyldighet att rapportera till rådet om de framsteg som hittills har gjorts i arbetet med det europeiska riktmärket för rörlighet i utbildningssyfte med sikte på 2020.
3,Ins_LearningMobility,sv,6,68,Riktmärket består av två indikatorer och definieras i bilagan till 2011 års slutsatser enligt följande:
3,Ins_LearningMobility,sv,6,69,– ”Senast 2020 bör ett EU-genomsnitt av minst 20 % av utexaminerade från högre utbildning ha haft en till högre utbildning knuten studie- eller praktikperiod (inklusive yrkespraktik) utomlands motsvarande minst 15 ECTS-poäng eller en varaktighet på minst tre månader.
3,Ins_LearningMobility,sv,6,70,”
3,Ins_LearningMobility,sv,7,71,"– ”Senast 2020 bör ett genomsnitt på minst 6 % av 18–34-åringarna med en grundläggande yrkesutbildning och praktik ha haft en grundläggande VET-studie- eller praktikperiod (inklusive yrkespraktik) utomlands under minst två veckor, eller mindre om detta dokumenteras via Europass."
3,Ins_LearningMobility,sv,7,72,”
3,Ins_LearningMobility,sv,8,73,"Riktmärket avser främst antalet utresande studerande, det vill säga hur många personer som reser utomlands för att skaffa sig kunskaper och kvalifikationer."
3,Ins_LearningMobility,sv,8,74,Inom EU är detta mål kopplat till EU:s grundläggande principer om fri rörlighet för personer och arbetskraft på den inre marknaden.
3,Ins_LearningMobility,sv,9,75,EU:s riktmärke mäter antalet utexaminerade som både har vistats utomlands under sin studietid och har fullföljt sina utbildningar.
3,Ins_LearningMobility,sv,9,76,"Något geografiskt område specificeras inte direkt, men i slutsatserna från 2011 understryks det att ”rörlighet i utbildningssyfte definieras som fysisk rörlighet, och hänsyn tas även till världsomspännande rörlighet”."
3,Ins_LearningMobility,sv,9,77,Det instrument som nämns i slutsatserna (studier av hushåll med personer i en viss bred åldersgrupp) sätter i praktiken gränser för mätningen av indikatorn för riktmärket för rörlighet inom grundläggande yrkesutbildning och praktik.
3,Ins_LearningMobility,sv,9,78,Någon källa för indikatorn för riktmärket för högre utbildning anges inte.
4,Lit_Alchemist,sv,1,79,Alkemisten - Kapitel 1
4,Lit_Alchemist,sv,1,80,Pojken hette Santiago.
4,Lit_Alchemist,sv,1,81,Det hade just börjat skymma när han med sin fårahjord kom fram till en gammal övergiven kyrka.
4,Lit_Alchemist,sv,1,82,Taket hade rasat in för länge sedan och en jättelik sykomor växte på den plats där sakristian låg en gång i tiden.
4,Lit_Alchemist,sv,1,83,Han beslöt sig för att övernatta där.
4,Lit_Alchemist,sv,1,84,Han såg till att alla fåren gick in genom den förfallna porten och lade sedan några brädor i vägen så att de inte kunde fly under natten.
4,Lit_Alchemist,sv,2,85,"Vargar fanns det inte i de här trakterna, men en gång hade ett djur lyckats rymma under de mörka timmarna och hela nästa dag hade gått åt att leta efter det bortsprungna fåret."
4,Lit_Alchemist,sv,2,86,"Han bredde ut sin jacka på marken och lade sig, och använde boken som han just läst som huvudkudde."
4,Lit_Alchemist,sv,2,87,"Innan han slöt ögonen tänkte han att han måste börja läsa tjockare böcker, de tog längre tid att komma igenom och de var skönare huvudkuddar när han sov."
4,Lit_Alchemist,sv,3,88,Det var ännu mörkt när han vaknade.
4,Lit_Alchemist,sv,3,89,Han riktade blicken uppåt och såg att stjärnorna lyste in genom det halvförstörda taket.
4,Lit_Alchemist,sv,3,90,"Jag hade gärna sovit lite längre, tänkte han."
4,Lit_Alchemist,sv,3,91,"Han hade haft samma dröm som förra veckan, och återigen hade han vaknat före slutet."
4,Lit_Alchemist,sv,3,92,Han reste sig upp och tog en klunk vin.
4,Lit_Alchemist,sv,3,93,Sedan grep han herdestaven och började väcka de får som fortfarande sov.
4,Lit_Alchemist,sv,3,94,Han hade märkt att så fort han reste sig började de flesta djuren också att vakna.
4,Lit_Alchemist,sv,3,95,"Ett slags mystisk energi förenade hans liv med fårens, som i två år hade gått med honom kors och tvärs genom landet, på jakt efter vatten och bete."
4,Lit_Alchemist,sv,4,96,»De är redan så vana vid mig att de kan min dygnsrytm»
4,Lit_Alchemist,sv,4,97,", sade han lågt."
4,Lit_Alchemist,sv,4,98,"Han tänkte efter ett ögonblick och sade sig själv att det kunde vara tvärtom också, att det var han som hade vant sig vid fårens dygnsrytm."
4,Lit_Alchemist,sv,4,99,Det fanns dock vissa får som tog lite längre tid på sig för att komma på benen.
4,Lit_Alchemist,sv,4,100,Pojken väckte det ena efter det andra med sin stav och kallade vart och ett vid dess namn.
4,Lit_Alchemist,sv,4,101,Han hade alltid varit övertygad om att fåren förstod när han talade.
4,Lit_Alchemist,sv,4,102,"Därför brukade han ibland låta dem höra stycken ur böcker som hade gjort intryck på honom, eller också berättade han om den ensamhet och glädje som en fåraherde känner,"
4,Lit_Alchemist,sv,5,103,eller kommenterade det han sett i de städer han brukade passera.
4,Lit_Alchemist,sv,5,104,"De båda senaste dagarna hade emellertid hans ämne i stort sett varit ett enda: flickan, köpmannens dotter, som bodde i den by han skulle komma till om fyra dagar."
4,Lit_Alchemist,sv,5,105,"Han hade bara varit där en gång tidigare, förra året."
4,Lit_Alchemist,sv,5,106,"Köpmannen var ägare till en tygbutik och ville helst titta på medan fåren klipptes, så han inte skulle bli lurad."
4,Lit_Alchemist,sv,5,107,"En vän hade berättat om butiken, och herden hade drivit sina får dit."
6,Lit_MagicMountain,sv,1,108,Bergtagen - Försats
6,Lit_MagicMountain,sv,1,109,"Hans Castorps historia, som vi ämnar berätta - inte för hans skull (ty läsaren kommer att i honom lära känna en enkel om också tilltalande ung man) utan för historiens skull, vilken tycks oss i hög grad värd att berättas (varvid vi dock till Castorps förmån bör påminna om att det är hans historia och att inte vem som helst får vara med om vilken historia som helst): denna historia ligger mycket långt tillbaka, den är så att säga redan helt överdragen med historisk ädelrost och måste ovillkorligen framföras i den djupaste förflutenhetens tempus."
6,Lit_MagicMountain,sv,2,110,"Detta skulle inte vara någon nackdel för en historia utan snarare en fördel; ty historier måste vara förflutna, och ju förflutnare, skulle man kunna säga, desto bättre för dem i deras egenskap av historier och för berättaren, den viskande besvärjaren av imperfektum."
6,Lit_MagicMountain,sv,3,111,"Det förhåller sig emellertid med denna historia så som det idag förhåller sig även med människorna och bland dessa inte minst med historieberättarna: den är mycket äldre än sina år, hur gammal den är går inte att beräkna efter dagar, vilken ålder som vilar på den inte efter solvarv; med ett ord: dess grad av förflutenhet beror egentligen inte på tiden — en utsaga varmed vi ber att i förbigående få anspela på och hänvisa till det dubiösa och den egendomliga dubbelnaturen hos detta hemlighetsfulla element."
6,Lit_MagicMountain,sv,4,112,Men för att inte konstlat fördunkla ett klart sakförhållande: vår historias höggradiga förflutenhet kommer sig av att den utspelar sig före en viss vändpunkt och gräns som åstadkommit en djup spricka i liv och medvetande ...
6,Lit_MagicMountain,sv,4,113,"Den utspelar sig eller, för att med flit undvika allt presens, den utspelade sig förr, tidigare, i forna dagar, i världen före det stora kriget med vars begynnelse så mycket begynte som väl knappast har upphört att begynna."
6,Lit_MagicMountain,sv,4,114,"Före alltså utspelar den sig, om också inte långt före."
6,Lit_MagicMountain,sv,4,115,"Men är inte en historias förflutenhetskaraktär desto djupare, fullkomligare och sagoaktigare ju tätare »före« den utspelar sig?"
6,Lit_MagicMountain,sv,5,116,"Därtill kan det hända att vår historia även annars, sin inre natur likmätigt, har ett och annat med sagan att göra."
6,Lit_MagicMountain,sv,5,117,"Vi skall berätta den utförligt, noggrant och grundligt - ty när skulle någonsin en historias nöjsam- eller ledsamhet ha varit avhängig av det rum och den tid som den tog i anspråk?"
6,Lit_MagicMountain,sv,5,118,Utan att rädas det odiösa pedanteriet lutar vi tvärtom åt åsikten att endast det grundliga är verkligt underhållande.
6,Lit_MagicMountain,sv,6,119,Berättaren kommer alltså inte att bli klar med Hans historia i första taget.
6,Lit_MagicMountain,sv,6,120,Veckans sju dagar lär inte räcka till och inte sju månader heller.
6,Lit_MagicMountain,sv,6,121,Det är nog bäst att han inte i förväg gör klart för sig hur mycket av hans tid på jorden som skall förgå medan den håller honom snärjd.
6,Lit_MagicMountain,sv,6,122,Det skall väl i Guds namn ändå inte bli sju år!
8,Lit_Solaris,sv,1,123,Solaris – Kapitel 2:
8,Lit_Solaris,sv,1,124,Solaristerna
8,Lit_Solaris,sv,1,125,Upptäckten av Solaris inträffade nära hundra år innan jag föddes.
8,Lit_Solaris,sv,1,126,"Planeten kretsar runt två solar, en röd och en blå."
8,Lit_Solaris,sv,1,127,Under över fyrtio år kom inget rymdskepp nära Solaris.
8,Lit_Solaris,sv,1,128,På den tiden gällde Gamow-Shapleys teori om omöjligheten att liv ska kunna uppstå på dubbelstjärnornas planeter som fullt bevisad.
8,Lit_Solaris,sv,1,129,Sådana planeters banor ändras ständigt tll följd av den gravitationseffekt som uppstår när de två solarna kretsar kring varandra.
8,Lit_Solaris,sv,2,130,"De uppstående perturbationerna ömsom krymper och ömsom utvidgar planetbanan, och om livbärande urämnen uppstår, förstörs de av strålningshetta eller iskyla."
8,Lit_Solaris,sv,2,131,"Dessa förändringar äger rum under loppet av miljoner år, alltså på ganska kort tid enligt astronomiska och biologiska begrepp (för evolutionen kräver hundratals miljoner eller en miljard år)."
8,Lit_Solaris,sv,3,132,Solaris skulle enligt de ursprungliga beräkningarna inom loppet av femhundratusen år ha kommit på ett avstånd av en halv astronomisk enhet från sin röda sol och efter ännu en miljon år störta ner i dess glödande avgrund.
8,Lit_Solaris,sv,3,133,"Men efter bara något femtontal år blev man övertygad om att planetens bana inte alls uppvisade de väntade förändringarna, det var precis som om den var konstant, lika konstant som planetbanorna i vårt solsystem."
8,Lit_Solaris,sv,4,134,"Man upprepade nu med allra största noggrannhet sina observationer och beräkningar, som bara bekräftade det som redan var känt: att Solaris har en icke konstant omloppsbana."
8,Lit_Solaris,sv,4,135,"Från att ha varit en av flera hundra årligen upptäckta planeter, som får en notis på några rader med huvuddragen av sina rörelser, avancerade Solaris nu till ett objekt som var värt särskild uppmärksamhet."
8,Lit_Solaris,sv,5,136,Och mycket riktigt — fyra år efter upptäckten kretsade Ottenskjolds expedition kring planeten.
8,Lit_Solaris,sv,5,137,Han utforskade den från Laokoon och två följeskepp.
8,Lit_Solaris,sv,5,138,"Den expeditionen var av provisorisk och improviserad natur, den var inte ens kapabel att landa."
8,Lit_Solaris,sv,5,139,Den satte in ett större antal automatiska observationssatelliter i omloppsbanor över poler och ekvator som hade till huvuduppgift att mäta gravitationspotentialerna.
8,Lit_Solaris,sv,6,140,"Dessutom utforskade man planetens yta, som nästan i sin helhet var täckt av ett hav och några enstaka högslätter som sköt upp över dess nivå."
8,Lit_Solaris,sv,6,141,"Deras sammanlagda yta uppgick inte ens till Europas areal, fast Solaris har en diameter som är tjugo procent större än jordens."
8,Lit_Solaris,sv,6,142,De små och ojämnt fördelade remsorna klippigt och ökenliknande land är huvudsakligen koncentrerade till det södra halvklotet.
8,Lit_Solaris,sv,7,143,"Man fastställde också atmosfärens syrefria sammansättning, gjorde synnerligen noggranna mätningar av planetens täthet, dess albedo och andra astronomiska element."
8,Lit_Solaris,sv,7,144,Som väntat fann man inga som helst spår av liv vare sig till lands eller i oceanen.
8,Lit_Solaris,sv,8,145,"Under de följande tio åren visade Solaris, som nu var i centrum för alla observatoriers intresse, en häpnadsväckande tendens att bevaka sin icke konstanta omloppsbana, som nu var ställd utom allt tvivel."
8,Lit_Solaris,sv,8,146,"Under en tid luktade det nästan skandal, eftersom man (med hänsyn till vetenskapens bästa) försökte skjuta skulden för ett sådant resultat av observationerna än på vissa personer, än på deras datorer."
8,Lit_Solaris,sv,9,147,"Bristen på medel försenade utskickandet av en riktig Solarisexpedition i ytterligare tre år, ända tills Shannahan hade kompletterat sin besättning och fått tre enheter från institutet, tonnage C, kosmodromisk klass."
8,Lit_Solaris,sv,9,148,"Ett och ett halvt år innan expeditionen som startade från Vattumannens alfa, kom fram, hade institutet skickat ut en enda forskningsflotta, satt en automatisk rymdstation, Luna 247, i omloppsbana kring Solaris."
8,Lit_Solaris,sv,10,149,Rymdstationen fungerar än i dag efter tre ombyggnader med tiotals år emellan.
8,Lit_Solaris,sv,10,150,De data den samlade in bekräftade definitivt den iakttagelse som Ottenskjolds expediton hade gjort om oceanrörelsernas aktiva karaktär.
8,Lit_Solaris,sv,10,151,"Ett av Shannahans skepp låg kvar i hög omloppsbana, medan två efter inledande förberedelser landade på den klippiga landremsa, som upptar omkring sexhundra kvadratmil nära Solaris sydpol."
